 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
45023;КИВИ ОТ ГИВИ;;Приятный кисловатый вкус варенья из спелого киви;;4;КИВИ ОТ ГИВИ   Северный;Северный;;;
45024;КЛУБНИЧНАЯ ФЕЕРИЯ;клубника личи;Микс из спелой клубники в сочетании с сладким личи.;;4;КЛУБНИЧНАЯ ФЕЕРИЯ клубника личи  Северный;Северный;;;
45025;КОРИЦА ПО ЖИЗНИ;;Насыщенный, пряный и терпкий вкус ароматной корицы;;4;КОРИЦА ПО ЖИЗНИ   Северный;Северный;;;
45026;КРАСНАЯ СМОРОДИНА;;Насыщенный ягодный аромат со свежими нотами и небольшой кислинкой;;4;КРАСНАЯ СМОРОДИНА   Северный;Северный;;;
45027;КРЕПКИЙ ОРЕШЕК;грецкий орех шоколад;Выразительный и плотный вкус грецкого ореха под слоем густого темного шоколада;;4;КРЕПКИЙ ОРЕШЕК грецкий орех шоколад  Северный;Северный;;;
45028;КРОШКА АЙВА;;Слегка вяжущий, вкус варенья из айвы с естественной сладостью;;4;КРОШКА АЙВА   Северный;Северный;;;
45029;КРУТАЯ ОБЛЕПИХА;;Яркий кисло-сладкий вкус русского облепихового варенья;;4;КРУТАЯ ОБЛЕПИХА   Северный;Северный;;;
45030;КУЧЕРЯВЫЙ ПЕРСИК;;Вкус персика с нотками персиковой косточки, сладкий;;4;КУЧЕРЯВЫЙ ПЕРСИК   Северный;Северный;;;
45031;ЛИЧИ В АЖУРЕ;;Сладкий привкус с небольшим винным оттенком;;4;ЛИЧИ В АЖУРЕ   Северный;Северный;;;
45032;МАЛИНА В ЗАКОНЕ;;Натуральный, насыщенный, ароматный вкус душистой дачной малины;;4;МАЛИНА В ЗАКОНЕ   Северный;Северный;;;
45033;МАНГО ОСВОБОЖДЕННЫЙ;;Сладковатый тропический вкус, немного травянистый, сочный и насыщенный;;4;МАНГО ОСВОБОЖДЕННЫЙ   Северный;Северный;;;
45034;МАНЯЩИЙ ЛИКЕР;;Вкус ирландского ликёра (Baileys), шоколадно-кофейно-сливочный, сладкий;;4;МАНЯЩИЙ ЛИКЕР   Северный;Северный;;;
45035;МОДНАЯ ДЫНЯ;;Вкус спелой дыни. Сладкий с медовыми нотками;;4;МОДНАЯ ДЫНЯ   Северный;Северный;;;
45036;МЯТА ИЗ ЧАТА;;Освежающий и в то же время слегка сладковатый вкус мяты;;4;МЯТА ИЗ ЧАТА   Северный;Северный;;;
45037;НОВОГОДНЯЯ ИСТОРИЯ;хвоя лимон апельсин;В этот раз главными героями нашей новогодней истории станут «Хвойный Микс», «Синьор Лимон» и «Заводной Апельсин» А что с ними делать - выбирать тебе!;;4;НОВОГОДНЯЯ ИСТОРИЯ хвоя лимон апельсин  Северный;Северный;;;
45038;НЭПМАНСКАЯ БРУСНИКА;;Вкус свежей брусники. Горький с кислыми нотками;;4;НЭПМАНСКАЯ БРУСНИКА   Северный;Северный;;;
45039;ПАН БАНАН;;Яркий вкус сладкой мякоти спелого желтого банана;;4;ПАН БАНАН   Северный;Северный;;;
45040;ПРЯНОЕ ВИНО;;Слегка терпкий вкус пряного красного вина с легкими фруктово-ягодными нотками;;4;ПРЯНОЕ ВИНО   Северный;Северный;;;
45041;РОЖДЕСТВЕНСКИЙ ВЕЧЕР;вино гранат апельсин;Эти три вкуса станут идеальным подарком к рождественскому вечеру с друзьями: «Пряное Вино», «Гранат со Двора» и «Заводной Апельсин»;;4;РОЖДЕСТВЕНСКИЙ ВЕЧЕР вино гранат апельсин  Северный;Северный;;;
45042;РОЗОВЫЙ ФЛАМИНГО;малина клубника личи;Микс спелого грейпфрута в сочетании со сладкой малиной и зрелой клубники, с лёгким оттенком сахарного личи;;4;РОЗОВЫЙ ФЛАМИНГО малина клубника личи  Северный;Северный;;;
45043;РУССКАЯ ШАРЛОТКА;яблоко;Вкус домашнего пирога с пудрой и кисловатым оттенком печеного яблока;;4;РУССКАЯ ШАРЛОТКА яблоко  Северный;Северный;;;
45044;РЯБИНОВАЯ БОРМОТУХА;настойка;Вкус рябиновой настойки, горький с кислыми и алкогольными нотками;;4;РЯБИНОВАЯ БОРМОТУХА настойка  Северный;Северный;;;
45045;РЯДОВОЙ РЕВЕНЬ;;Травянистый вкус корня ревеня с небольшой кислинкой;;4;РЯДОВОЙ РЕВЕНЬ   Северный;Северный;;;
45046;СВЕЖИЙ БАБЛ;жевательная резинка мята;Классическая освежающая жвачка со вкусом мяты;;4;СВЕЖИЙ БАБЛ жевательная резинка мята  Северный;Северный;;;
45047;СЕВЕР;лед;Рекомендованная дозировка 10%;;4;СЕВЕР лед  Северный;Северный;;;
45048;СЕМИГУАВЩИНА;гуава;Вкус гуавы с освежающей тропической кислинкой;;4;СЕМИГУАВЩИНА гуава  Северный;Северный;;;
45049;СИБИРСКАЯ ПИХТА;;Основной аромат пихты свежий, смолисто-хвойный, терпкий, холодный;;4;СИБИРСКАЯ ПИХТА   Северный;Северный;;;
45050;СИНЬОР ЛИМОН;;Сочная мякоть лимона с легким конфетным послевкусием;;4;СИНЬОР ЛИМОН   Северный;Северный;;;
45051;СЛАДКИЙ БАБЛ;жевательная резинка;Любимый вкус сладкой жвачки теперь у тебя в чаше;;4;СЛАДКИЙ БАБЛ жевательная резинка  Северный;Северный;;;
45052;СУПЕР КИСЛЫЙ;;Рекомендованная дозировка 10%;;4;СУПЕР КИСЛЫЙ   Северный;Северный;;;
45053;СУПЕР КРЕПКИЙ;;Рекомендованная дозировка 20%;;5;СУПЕР КРЕПКИЙ   Северный;Северный;;;
45054;СУПЕР МЯГКИЙ;;Рекомендованная дозировка 20%;;3;СУПЕР МЯГКИЙ   Северный;Северный;;;
45055;ТРОПИЧЕСКИЙ ЛИМОНАД;ананас ревень;Вкус тропического прохладного лимонада на основе ягод с нотами ананаса и легким терпким послевкусием ревня;;4;ТРОПИЧЕСКИЙ ЛИМОНАД ананас ревень  Северный;Северный;;;
45056;ФЕЙХОА НА ГОА;;Необычный кисло-сладкий тропический вкус фейхоа;;4;ФЕЙХОА НА ГОА   Северный;Северный;;;
45057;ФРУТОМАНИЯ;дыня смородина цитрус;Вкус спелой дыни, с легкими травяными нотами чёрной смородины и холодным цитрусом на послевкусие;;4;ФРУТОМАНИЯ дыня смородина цитрус  Северный;Северный;;;
45058;ХВОЙНЫЙ МИКС;хвоя;Смолистый, глубокий и стойкий аромат свежей сосновой хвои;;4;ХВОЙНЫЙ МИКС хвоя  Северный;Северный;;;
45059;ЦАРЬ КЛЮКВА;;Аромат свежей наливной клюквы с выразительной сочной кислинкой;;4;ЦАРЬ КЛЮКВА   Северный;Северный;;;
45060;ЧАО КАКАО;;Вкус какао порошка, сладкий;;4;ЧАО КАКАО   Северный;Северный;;;
45061;ЧЕРНАЯ СМОРОДИНА;;Сладковато-кислый, яркий и насыщенный аромат черной смородины;;4;ЧЕРНАЯ СМОРОДИНА   Северный;Северный;;;
45062;ЧЕРНИЧНЫЙ ЧЕТВЕРГ;черника;Насыщенный вкус спелой свежей лесной черники;;4;ЧЕРНИЧНЫЙ ЧЕТВЕРГ черника  Северный;Северный;;;
45063;ЧЁРНЫЙ АРБУЗ;;Вкус арбузной корки. Сладкий с кислыми нотками;;4;ЧЁРНЫЙ АРБУЗ   Северный;Северный;;;
45064;ЧИФИР В СЛАДОСТЬ;чай;Классический чёрный чай с терпким послевкусием;;4;ЧИФИР В СЛАДОСТЬ чай  Северный;Северный;;;
45065;ЭКЗОТИЧЕСКИЙ СМУЗИ;киви ананас ягоды;Вкус экзотического смузи из спелого киви, с лёгкой кислинкой ананаса и зрелыми ягодами;;4;ЭКЗОТИЧЕСКИЙ СМУЗИ киви ананас ягоды  Северный;Северный;;;
45066;ЯГОДНЫЙ ФЬЮЖН;черника дыня;микс из спелой лесной черники с нотой прохладной медовой дыни.;;4;ЯГОДНЫЙ ФЬЮЖН черника дыня  Северный;Северный;;;
