 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
10061;Kiwi Stoner;"Смузи Киви
";"Интересный и даже интригующий кисло-сладкий вкус. Освежает и поднимает настроение. Отличный выбор для жаркого дня, чтобы немного взбодриться и переключиться.
";;4;"Kiwi Stoner Смузи Киви
 Burn";;BlackBurn;;
10062;Lemon Shock;"Ультракислый Лимон
";"Лимон, настоящии? ЛИМОН. Никаких конфетных истории?, леденцов и прочего! Только кислыи? вкус, только хардкор. Lemon SHOCK - это универсальныи? аромат годныи? к использованию в миксах и краи?не хорош в соло.
";;4;"Lemon Shock Ультракислый Лимон
 Burn";;BlackBurn;;
10063;Lemon sweets;"Лимонные леденцы
";"Неожиданная подача классического лимонного вкуса - нежный сладковатый оттенок лимона с добавлением цитрусовых. На выдохе во рту сохранятся нотка лимонной карамели, кислинка в данном табаке не ярко выраженная, поэтому он придется по душе тем, кто любит легкие сладковатые вкусы. Приятно курится в чистом виде и сочетается с различными миксами фруктовой, чайной и десертной тематики, а также готов к созданию неожиданной палитры вкуса, например, в дуэте с ""Клубничным вареньем"".
";;4;"Lemon sweets Лимонные леденцы
 Burn";;BlackBurn;;
10064;Mellon Halls;"Дынный Холлс
";"Фирменный вкус леденцов с двойным эффектом: свежесть и наслаждение вкусом ароматной Дыни! Melon Halls это новый вкус в крепкой линейке BlackBurn, который великолепно проявляет себя как в соло, так и в различных миксах. Melon Halls - cочно, дымно, крепко! Успей попробовать первым!
";;4;"Mellon Halls Дынный Холлс
 Burn";;BlackBurn;;
10065;Overdose;"Лимон-Лайм
";"Взрывной хит 2021 года - крепкий и сочный вкус, сочетающий в себе кислые ноты сочного лимона и дерзкого лайма! Отлично подойдет для создания классных цитрусовых миксов! Осторожно! Высокая крепость.
";;5;"Overdose Лимон-Лайм
 Burn";;BlackBurn;;
10066;Papaya V Obed;Папайя;"Один из четырех вкусов, выпущенный в коллаборации с известным кальянным блогером Слава КМТМ (Кальянный Мастер Твоей Мамы). Это сочный и травянистый вкус папайи с легкими нотками сливочности и кислинкой.
";;4;Papaya V Obed Папайя Burn;;BlackBurn;;
10067;Peach Killer;Персик;"Роскошныи?, насыщенныи? вкус сладкои? и нежнои? мякоти персика. Яркое и приятное послевкусие, ароматныи? дым. Peach Killer отлично сочетается практически со всеми с другими фруктовыми вкусами.
";;4;Peach Killer Персик Burn;;BlackBurn;;
10068;Peachberry;"Земляника Персик
";"Непревзойденно-ароматная земляника родом из леса и лета разбавляет свою дерзкую пряность нежной сочностью избалованного южным солнцем персика. Дуэт, прямо скажем, ""Вау!"" — идеально ложится на любой повод и настроение. Повышает тонус, настраивает на теплую, ""прогретую"" дымом атмосферу.
";;4;"Peachberry Земляника Персик
 Burn";;BlackBurn;;
10069;Pear Lemonade;Грушевый лимонад;Безупречный бленд груши, льда и мяты. Прекрасный яркий летний вкус для жарких вечеров, для тех, кто предпочитает что-то свежее.;;4;Pear Lemonade Грушевый лимонад Burn;;BlackBurn;;
10070;Pinacolada;"Пина-Колада
";"Яркий солнечный вкус классического карибского коктейля, мастерски составленного из насыщенных оттенков свежего ананасового сока и нежного кокосового молока, что буквально тает во рту.
";;4;"Pinacolada Пина-Колада
 Burn";;BlackBurn;;
10071;Pineapple;Ананас;"Сочный спелый ананас - король тропических фруктов. Универсальный кисловато-сладкий вкус. Прекрасно используется как в соло, так и в миксах с любыми вкусами.
";;4;Pineapple Ананас Burn;;BlackBurn;;
10072;Pistachio Ice Snow;"Фисташковое Мороженое
";"Фисташковое мороженое - то, что нужно для лета! Pistachio Ice Snow потрясающе холодный, но в то же время очень нежный орехово-сливочный вкус, положенный на табачный лист сорта Toasted Burley. Pistachio Ice Snow - это магия крепкого BlackBurn, от которой появляются мурашки! Спешите попробовать!
";;4;"Pistachio Ice Snow Фисташковое Мороженое
 Burn";;BlackBurn;;
10073;Raspberries;Малина;"Cладкая ароматная малина с небольшой приятной кислинкой на послевкусии. Очень легко и приятно курится в соло. После курения остается мягкое послевкусие, а сладкий, свежий аромат понравится не только курящим, но и окружающим.
";;4;Raspberries Малина Burn;;BlackBurn;;
10074;REAL P.F.;Маракуйя;"Нереальный тропический вкус напомнит забытые оттенки подогретого солнцем берега моря. Яркий вкус маракуйи с харизматичной пряной сладостью и кислинкой доставит вас прямиком на дымные облака наслаждения. Яркий, настоящий: не то, что путешествия 2020. Красочный фейерверк на карте будней!
";;4;REAL P.F. Маракуйя Burn;;BlackBurn;;
10075;Red Orange;"Красный Апельсин
";"Вкус экзотического красного апельсина. Кислый и одновременно сладкий, безумно ароматный и насыщенный.
";;4;"Red Orange Красный Апельсин
 Burn";;BlackBurn;;
10076;Rising Star;"Манго Маракуйя
";"Микс для любителеи? сладкого и тропического, как ароматныи? коктеи?ль, бережно собранныи? для вас на песочном берегу океана или в вечернем баре перед бассеи?ном. Сладкие нотки манго в сочетании с ароматом маракуи?и определенно выделяют этот вкус из всеи? фруктовои? линеи?ки BlackBurn.
";;4;"Rising Star Манго Маракуйя
 Burn";;BlackBurn;;
10077;Shock, Currant Shock;Кислая Черная Смородина;"Вариант однозначно для любителей смородины. Из открытой упаковки терпкий и пряный запах смородины распространяется на всю комнату. Как будто только что сорванная свежая ягода лежит на столе. В процессе вдыхания дает приятный кислый вкус с выраженными смородиновыми нотами. Кислит и освежает как надо. Вкус сохраняется продолжительно, не надоедает, хотя можно попробовать замиксовать и добавить и сладких акцентов.
";;4;Shock, Currant Shock Кислая Черная Смородина Burn;;BlackBurn;;
10078;Something Berry;"Ягоды
";Любите что-то ягодное? Тогда выбирайте Something Berry - богатый кисло-сладкий аромат сочных ягод с терпкими, цветочными и травянистыми оттенками. Улавливаются насыщенные ноты черники, ежевики, малины, крыжовника, боярышника, красной и черной смородины. Идеален в соло, но и отлично миксуется с мятными, чайными, десертными и фруктовыми ароматами.;;4;"Something Berry Ягоды
 Burn";;BlackBurn;;
10079;Something Icy;"Лед
";"Вы смотрели фильм «Послезавтра»? Помните момент, когда поток воздуха мгновенно замораживал все на своем пути: вертолеты, здания … вот так же и Something Icy от BlackBurn. Мощный, напористый, ледяной, бескомпромиссный!
";;4;"Something Icy Лед
 Burn";;BlackBurn;;
10080;Something Sweet;сладкое;"Дословный перевод вкуса - «Что-то сладкое» довольно точно описывает этот табак BlackBurn. Вы по-настоящему насладитесь ароматом очень сладкого варенья из фейхоа. Если вы любите сладкие или даже десертные вкусы, обязательно попробуйте Something Sweet.
";;4;Something Sweet сладкое Burn;;BlackBurn;;
10081;Something Tropical;тропические фрукты;"Попробуйте мощный и сногсшибательный микс из тропических фруктов в табаке BlackBurn - Something Tropical. Насладитесь ярким и многогранным букетом с преобладающими нотками ананаса, манго, питахайи, маракуйи, карамболы, лонгана, мангустина и лайма. Отличный кисло-сладкий аромат с легкими терпкими, цветочными и травянистыми оттенками.
";;4;Something Tropical тропические фрукты Burn;;BlackBurn;;
10082;Sou-Sep;"Тархун лимонад
";"Освежающий глоток прохладного тархуна будоражит рецепторы травянистым ароматом детства, который идеально сочетается со сметанными нотками тропического саусепа: экзотического сахарного яблока, обладающего дивным кисло-сладким послевкусием.
";;4;"Sou-Sep Тархун лимонад
 Burn";;BlackBurn;;
10083;Strawberry Coconut;"Клубника кокос эвкалипт
";"Витаминный заряд из освежающего микса спелой клубники и экзотического кокоса, приправленный прохладно-терпким ароматом эвкалипта.
";;4;"Strawberry Coconut Клубника кокос эвкалипт
 Burn";;BlackBurn;;
10084;Strawberry Jam;"Клубника Джем
";"BlackBurn Strawberry Jam со вкусом клубничного варенья или джема, для любителей ягодной классики. Обладает приятным, легким ароматом, очень сладкий на вкус с нотками ягодных вкраплений. Вкус варенья придает ему еще больше насыщенности, но без сильной приторности. Попробуйте собрать свое ягодное лукошко с черникой, клюквой и щепоткой мяты или холодка.
";;4;"Strawberry Jam Клубника Джем
 Burn";;BlackBurn;;
10085;Sundaysun;"Цитрус Апельсин Грейпфрут Лимон
";"Насыщенный, свежий и ароматный летний коктейль из цитрусовых фруктов - лимона, апельсина и грейпфрута. Один из лучших цитрусовых миксов!
";;4;"Sundaysun Цитрус Апельсин Грейпфрут Лимон
 Burn";;BlackBurn;;
